section_id,file_id,url,heading_markdown,local_readme_file,heading_level
1,1,https://github.com/1406504841/glide,# Glide,1406504841.glide.md,1
2,1,https://github.com/1406504841/glide,## Download,1406504841.glide.md,2
3,1,https://github.com/1406504841/glide,## Proguard,1406504841.glide.md,2
4,1,https://github.com/1406504841/glide,## How do I use Glide?,1406504841.glide.md,2
5,1,https://github.com/1406504841/glide,## OkHttp and Volley,1406504841.glide.md,2
6,1,https://github.com/1406504841/glide,## Android SDK Version,1406504841.glide.md,2
7,1,https://github.com/1406504841/glide,## License,1406504841.glide.md,2
8,1,https://github.com/1406504841/glide,## Status,1406504841.glide.md,2
9,1,https://github.com/1406504841/glide,## Build,1406504841.glide.md,2
10,1,https://github.com/1406504841/glide,## Samples,1406504841.glide.md,2
11,1,https://github.com/1406504841/glide,## Development,1406504841.glide.md,2
12,1,https://github.com/1406504841/glide,## Getting Help,1406504841.glide.md,2
13,1,https://github.com/1406504841/glide,## Contributing,1406504841.glide.md,2
14,1,https://github.com/1406504841/glide,## Thanks,1406504841.glide.md,2
15,1,https://github.com/1406504841/glide,## Author,1406504841.glide.md,2
16,1,https://github.com/1406504841/glide,## Disclaimer,1406504841.glide.md,2
1,2,https://github.com/17352913480/1002,## Welcome to GitHub Pages,17352913480.1002.md,2
2,2,https://github.com/17352913480/1002,### Markdown,17352913480.1002.md,3
3,2,https://github.com/17352913480/1002,# Header 1,17352913480.1002.md,1
4,2,https://github.com/17352913480/1002,## Header 2,17352913480.1002.md,2
5,2,https://github.com/17352913480/1002,### Header 3,17352913480.1002.md,3
6,2,https://github.com/17352913480/1002,### Jekyll Themes,17352913480.1002.md,3
7,2,https://github.com/17352913480/1002,### Support or Contact,17352913480.1002.md,3
1,3,https://github.com/565407548/vlayout,# vlayout,565407548.vlayout.md,1
2,3,https://github.com/565407548/vlayout,## Design,565407548.vlayout.md,2
3,3,https://github.com/565407548/vlayout,## Main Feature,565407548.vlayout.md,2
4,3,https://github.com/565407548/vlayout,## Usage,565407548.vlayout.md,2
5,3,https://github.com/565407548/vlayout,### Import Library,565407548.vlayout.md,3
6,3,https://github.com/565407548/vlayout,### Initialize LayoutManager,565407548.vlayout.md,3
7,3,https://github.com/565407548/vlayout,### Initialize recycled pool's size,565407548.vlayout.md,3
8,3,https://github.com/565407548/vlayout,### Set Adapters,565407548.vlayout.md,3
9,3,https://github.com/565407548/vlayout,# Demo,565407548.vlayout.md,1
10,3,https://github.com/565407548/vlayout,# Layout Attributes,565407548.vlayout.md,1
11,3,https://github.com/565407548/vlayout,# Contributing,565407548.vlayout.md,1
12,3,https://github.com/565407548/vlayout,# LICENSE,565407548.vlayout.md,1
1,4,https://github.com/59naga/object-parser,# Object-parser [![NPM version][npm-image]][npm] [![Build Status][travis-image]][travis] [![Coverage Status][coveralls-image]][coveralls],59naga.object-parser.md,1
2,4,https://github.com/59naga/object-parser,## Installation,59naga.object-parser.md,2
3,4,https://github.com/59naga/object-parser,### Via npm,59naga.object-parser.md,3
4,4,https://github.com/59naga/object-parser,### Via bower,59naga.object-parser.md,3
5,4,https://github.com/59naga/object-parser,# API,59naga.object-parser.md,1
6,4,https://github.com/59naga/object-parser,"## `OP.stringify(type,object,replacer,indent)`",59naga.object-parser.md,2
7,4,https://github.com/59naga/object-parser,"## `OP.parse(type,object)`",59naga.object-parser.md,2
8,4,https://github.com/59naga/object-parser,## License,59naga.object-parser.md,2
1,5,https://github.com/a3986/px-data-table,## Px-Data-Table [![Build Status](https://travis-ci.org/PredixDev/px-data-table.svg?branch=master)](https://travis-ci.org/PredixDev/px-data-table),a3986.px-data-table.md,2
2,5,https://github.com/a3986/px-data-table,## Overview,a3986.px-data-table.md,2
3,5,https://github.com/a3986/px-data-table,## Usage,a3986.px-data-table.md,2
4,5,https://github.com/a3986/px-data-table,### Prerequisites,a3986.px-data-table.md,3
5,5,https://github.com/a3986/px-data-table,### Getting Started,a3986.px-data-table.md,3
6,5,https://github.com/a3986/px-data-table,## Documentation,a3986.px-data-table.md,2
7,5,https://github.com/a3986/px-data-table,## Local Development,a3986.px-data-table.md,2
8,5,https://github.com/a3986/px-data-table,### GE Coding Style Guide,a3986.px-data-table.md,3
9,5,https://github.com/a3986/px-data-table,## Known Issues,a3986.px-data-table.md,2
1,6,https://github.com/aaronseib/smart-on-fhir.github.io,# SMART Technical Documentation,aaronseib.smart-on-fhir.github.io.md,1
2,6,https://github.com/aaronseib/smart-on-fhir.github.io,## Installing Jekyll and Friends,aaronseib.smart-on-fhir.github.io.md,2
3,6,https://github.com/aaronseib/smart-on-fhir.github.io,## ,aaronseib.smart-on-fhir.github.io.md,2
1,7,https://github.com/abhilashkkumar/testapp_rails,# Test Rails App,abhilashkkumar.testapp_rails.md,1
2,7,https://github.com/abhilashkkumar/testapp_rails,## App Details,abhilashkkumar.testapp_rails.md,2
3,7,https://github.com/abhilashkkumar/testapp_rails,## Test Droplet Details,abhilashkkumar.testapp_rails.md,2
4,7,https://github.com/abhilashkkumar/testapp_rails,## Testing on Your own Droplet,abhilashkkumar.testapp_rails.md,2
1,8,https://github.com/abhinav1592/PruneCluster,# ![PruneCluster](http://medias.master-bridge.eu/e30525b1a92f01204ac69039a642e370c85bf906.png),abhinav1592.PruneCluster.md,1
2,8,https://github.com/abhinav1592/PruneCluster,### Features,abhinav1592.PruneCluster.md,3
3,8,https://github.com/abhinav1592/PruneCluster,#### Realtime,abhinav1592.PruneCluster.md,4
4,8,https://github.com/abhinav1592/PruneCluster,#### Fast,abhinav1592.PruneCluster.md,4
5,8,https://github.com/abhinav1592/PruneCluster,## Number of markers|First step|Update (low zoom level)|Update (high zoom level),abhinav1592.PruneCluster.md,2
6,8,https://github.com/abhinav1592/PruneCluster,#### Weight,abhinav1592.PruneCluster.md,4
7,8,https://github.com/abhinav1592/PruneCluster,#### Categories,abhinav1592.PruneCluster.md,4
8,8,https://github.com/abhinav1592/PruneCluster,#### Dynamic cluster size,abhinav1592.PruneCluster.md,4
9,8,https://github.com/abhinav1592/PruneCluster,#### Filtering,abhinav1592.PruneCluster.md,4
10,8,https://github.com/abhinav1592/PruneCluster,### Usage,abhinav1592.PruneCluster.md,3
11,8,https://github.com/abhinav1592/PruneCluster,### PruneClusterForLeaflet constructor,abhinav1592.PruneCluster.md,3
12,8,https://github.com/abhinav1592/PruneCluster,#### Update a position,abhinav1592.PruneCluster.md,4
13,8,https://github.com/abhinav1592/PruneCluster,#### Deletions,abhinav1592.PruneCluster.md,4
14,8,https://github.com/abhinav1592/PruneCluster,#### Set the category,abhinav1592.PruneCluster.md,4
15,8,https://github.com/abhinav1592/PruneCluster,#### Set the weight,abhinav1592.PruneCluster.md,4
16,8,https://github.com/abhinav1592/PruneCluster,#### Filtering,abhinav1592.PruneCluster.md,4
17,8,https://github.com/abhinav1592/PruneCluster,#### Set the clustering size,abhinav1592.PruneCluster.md,4
18,8,https://github.com/abhinav1592/PruneCluster,#### Apply the changes,abhinav1592.PruneCluster.md,4
19,8,https://github.com/abhinav1592/PruneCluster,#### Add custom data to marker object,abhinav1592.PruneCluster.md,4
20,8,https://github.com/abhinav1592/PruneCluster,#### Setting up a Leaflet icon or a Leaflet popup,abhinav1592.PruneCluster.md,4
21,8,https://github.com/abhinav1592/PruneCluster,#### Faster leaflet icons,abhinav1592.PruneCluster.md,4
22,8,https://github.com/abhinav1592/PruneCluster,#### Setting up a custom cluster icon,abhinav1592.PruneCluster.md,4
23,8,https://github.com/abhinav1592/PruneCluster,#### Listening to events on a cluster,abhinav1592.PruneCluster.md,4
24,8,https://github.com/abhinav1592/PruneCluster,#### Redraw the icons,abhinav1592.PruneCluster.md,4
25,8,https://github.com/abhinav1592/PruneCluster,### Acknowledgements,abhinav1592.PruneCluster.md,3
26,8,https://github.com/abhinav1592/PruneCluster,### Licence,abhinav1592.PruneCluster.md,3
1,9,https://github.com/aborunski/android-fragment-swapper,# FragmentSwapper,aborunski.android-fragment-swapper.md,1
2,9,https://github.com/aborunski/android-fragment-swapper,### Project integration,aborunski.android-fragment-swapper.md,3
3,9,https://github.com/aborunski/android-fragment-swapper,### License,aborunski.android-fragment-swapper.md,3
1,10,https://github.com/abparker/developer-exercise,## Jaguar Design Studio,abparker.developer-exercise.md,2
2,10,https://github.com/abparker/developer-exercise,## Web Application Developer Exercise,abparker.developer-exercise.md,2
3,10,https://github.com/abparker/developer-exercise,### Introduction,abparker.developer-exercise.md,3
4,10,https://github.com/abparker/developer-exercise,### Exercise: Ruby,abparker.developer-exercise.md,3
1,11,https://github.com/abricot/foxmote,# Foxmote,abricot.foxmote.md,1
2,11,https://github.com/abricot/foxmote,## Purpose,abricot.foxmote.md,2
3,11,https://github.com/abricot/foxmote,## Stack,abricot.foxmote.md,2
4,11,https://github.com/abricot/foxmote,### Build,abricot.foxmote.md,3
5,11,https://github.com/abricot/foxmote,## Installation,abricot.foxmote.md,2
6,11,https://github.com/abricot/foxmote,### Platform & tools,abricot.foxmote.md,3
7,11,https://github.com/abricot/foxmote,### Application Server,abricot.foxmote.md,3
8,11,https://github.com/abricot/foxmote,### Client Application,abricot.foxmote.md,3
9,11,https://github.com/abricot/foxmote,## Building,abricot.foxmote.md,2
10,11,https://github.com/abricot/foxmote,## Running,abricot.foxmote.md,2
11,11,https://github.com/abricot/foxmote,### Start the Server,abricot.foxmote.md,3
12,11,https://github.com/abricot/foxmote,## Development,abricot.foxmote.md,2
13,11,https://github.com/abricot/foxmote,### Folders structure,abricot.foxmote.md,3
14,11,https://github.com/abricot/foxmote,### Default Build,abricot.foxmote.md,3
15,11,https://github.com/abricot/foxmote,### Continuous Building,abricot.foxmote.md,3
16,11,https://github.com/abricot/foxmote,"### Building release code, aka create a zip file ready for firefox os marketplace upload",abricot.foxmote.md,3
17,11,https://github.com/abricot/foxmote,### Using Firefox OS Simulator,abricot.foxmote.md,3
1,12,https://github.com/acautin/erloci,# erloci - An Erlang wrapper for the Oracle Call Interface,acautin.erloci.md,1
2,12,https://github.com/acautin/erloci,### Compiling,acautin.erloci.md,3
3,12,https://github.com/acautin/erloci,### 3d party dependencies,acautin.erloci.md,3
4,12,https://github.com/acautin/erloci,#### Threadpool ,acautin.erloci.md,4
5,12,https://github.com/acautin/erloci,#### Oracle Call Interface (OCI),acautin.erloci.md,4
6,12,https://github.com/acautin/erloci,##### Mac OSX directory structure,acautin.erloci.md,5
7,12,https://github.com/acautin/erloci,##### manually installing the OCI libraries system wide (Linux),acautin.erloci.md,5
8,12,https://github.com/acautin/erloci,#### Compile ERLOCI in Windows,acautin.erloci.md,4
9,12,https://github.com/acautin/erloci,### Usage,acautin.erloci.md,3
10,12,https://github.com/acautin/erloci,### TODOs,acautin.erloci.md,3
1,13,https://github.com/aceol/generator-gulp-angular,# generator-gulp-angular ![Logo](app/templates/src/assets/images/generator-gulp-angular-logo.png),aceol.generator-gulp-angular.md,1
2,13,https://github.com/aceol/generator-gulp-angular,## Usage,aceol.generator-gulp-angular.md,2
3,13,https://github.com/aceol/generator-gulp-angular,### Install,aceol.generator-gulp-angular.md,3
4,13,https://github.com/aceol/generator-gulp-angular,"##### Install required tools `yo`, `gulp` and `bower`:",aceol.generator-gulp-angular.md,5
5,13,https://github.com/aceol/generator-gulp-angular,##### Install `generator-gulp-angular`:,aceol.generator-gulp-angular.md,5
6,13,https://github.com/aceol/generator-gulp-angular,### Run,aceol.generator-gulp-angular.md,3
7,13,https://github.com/aceol/generator-gulp-angular,"##### Create a new directory, and go into:",aceol.generator-gulp-angular.md,5
