section_id,file_id,url,heading_markdown,section_code,local_readme_file,heading_level,section_contents
1,1,https://github.com/xiaobai557/wechat,# [Easy WeChat](http://easywechat.org),-,xiaobai557.wechat.md,1, 可能是目前最优雅的微信公众平台 SDK 了。  > 不支持企业号，也不打算支持，原因？微信的API实在设计得太乱了，我怕累死。。。  - SDK 官方论坛：https://forum.easywechat.org - SDK 使用交流 QQ 群：`319502940` - 微信开发者交流 QQ 群：`9179779`  [![Build Status](https://travis-ci.org/overtrue/wechat.svg?branch=master)](https://travis-ci.org/overtrue/wechat) [![Latest Stable Version](https://poser.pugx.org/overtrue/wechat/v/stable.svg)](https://packagist.org/packages/overtrue/wechat) [![Latest Unstable Version](https://poser.pugx.org/overtrue/wechat/v/unstable.svg)](https://packagist.org/packages/overtrue/wechat) [![Build Status](https://scrutinizer-ci.com/g/overtrue/wechat/badges/build.png?b=master)](https://scrutinizer-ci.com/g/overtrue/wechat/build-status/master) [![Scrutinizer Code Quality](https://scrutinizer-ci.com/g/overtrue/wechat/badges/quality-score.png?b=master)](https://scrutinizer-ci.com/g/overtrue/wechat/?branch=master) [![Code Coverage](https://scrutinizer-ci.com/g/overtrue/wechat/badges/coverage.png?b=master)](https://scrutinizer-ci.com/g/overtrue/wechat/?branch=master) [![Total Downloads](https://poser.pugx.org/overtrue/wechat/downloads)](https://packagist.org/packages/overtrue/wechat) [![License](https://poser.pugx.org/overtrue/wechat/license)](https://packagist.org/packages/overtrue/wechat) 
2,1,https://github.com/xiaobai557/wechat,## 特点,-,xiaobai557.wechat.md,2,
3,1,https://github.com/xiaobai557/wechat,## 环境要求,-,xiaobai557.wechat.md,2,
4,1,https://github.com/xiaobai557/wechat,## 安装,-,xiaobai557.wechat.md,2,
5,1,https://github.com/xiaobai557/wechat,## 使用,-,xiaobai557.wechat.md,2,
6,1,https://github.com/xiaobai557/wechat,## 文档,-,xiaobai557.wechat.md,2,
7,1,https://github.com/xiaobai557/wechat,## 框架集成,-,xiaobai557.wechat.md,2,
8,1,https://github.com/xiaobai557/wechat,## 贡献代码,-,xiaobai557.wechat.md,2,
9,1,https://github.com/xiaobai557/wechat,## License,-,xiaobai557.wechat.md,2,
10,2,https://github.com/dungenessbin/think,# ThinkPHP 5.0,-,dungenessbin.think.md,1,===============  [![Total Downloads](https://poser.pugx.org/topthink/think/downloads)](https://packagist.org/packages/topthink/think) [![Latest Stable Version](https://poser.pugx.org/topthink/think/v/stable)](https://packagist.org/packages/topthink/think) [![Latest Unstable Version](https://poser.pugx.org/topthink/think/v/unstable)](https://packagist.org/packages/topthink/think) [![License](https://poser.pugx.org/topthink/think/license)](https://packagist.org/packages/topthink/think)  ThinkPHP5在保持快速开发和大道至简的核心理念不变的同时，PHP版本要求提升到5.4，对已有的CBD模式做了更深的强化，优化核心，减少依赖，基于全新的架构思想和命名空间实现，是ThinkPHP突破原有框架思路的颠覆之作，其主要特性包括：   + 基于命名空间和众多PHP新特性  + 核心功能组件化  + 强化路由功能  + 更灵活的控制器  + 重构的模型和数据库类  + 配置文件可分离  + 重写的自动验证和完成  + 简化扩展机制  + API支持完善  + 改进的Log类  + 命令行访问支持  + REST支持  + 引导文件支持  + 方便的自动生成定义  + 真正惰性加载  + 分布式环境支持  + 更多的社交类库  > ThinkPHP5的运行环境要求PHP5.4以上。  详细开发文档参考 [ThinkPHP5完全开发手册](http://www.kancloud.cn/manual/thinkphp5) 
